capture_date,competitor,product_name,product_type,bottle_count,total_price,price_per_bottle,purchase_type,subscription_frequency,prepaid_terms,variant_options,currency,availability,source_url,notes
2026-07-20T22:12:14.729Z,Soda Pop Online,Subscription Avery's Totally Gross Soda,subscription,6,44.99,7.5,subscription and one-time,monthly,6 months; 12 months,6 Avery's Totally Gross Soda; 12 Avery's Totally Gross Soda; 6 Avery's Totally Gross Soda; 12 Avery's Totally Gross Soda; Month for 6 month(s); Month for 12 month(s); Month (Until You Cancel); 6 Nostalgic Soda; 12 Nostalgic Soda; Month for 6 month(s); Month for 12 month(s); Month (Until You Cancel); 6 Bizarre & Odd Sodas; 12 Bizarre & Odd Sodas; Month for 6 month(s); Month for 12 month(s); Month (Until You Cancel); 6 Root Beer Pack; 12 Root Beer Pack; Month for 6 month(s); Month for 12 month(s); Month (Until You Cancel); 6 Ginger Variety Pack; 12 Ginger Variety Pack; Month for 6 month(s); Month for 12 month(s); Month (Until You Cancel); 6 Cream Sodas; 12 Cream Sodas; Month for 6 month(s); Month for 12 month(s); Month (Until You Cancel),USD,,https://www.sodapoponline.com/collections/soda-of-the-month-subscription/products/subscription-averys-totally-gross-sodas,
2026-07-20T22:12:17.078Z,Soda Pop Online,Subscription Ginger,subscription,6,44.99,7.5,subscription and one-time,monthly,6 months; 12 months,6 Ginger Variety Pack; 12 Ginger Variety Pack; 6 Ginger Variety Pack; 12 Ginger Variety Pack; Month for 6 month(s); Month for 12 month(s); Month (Until You Cancel); 6 Root Beer Pack; 12 Root Beer Pack; Month for 6 month(s); Month for 12 month(s); Month (Until You Cancel); 6 Cream Sodas; 12 Cream Sodas; Month for 6 month(s); Month for 12 month(s); Month (Until You Cancel); 6 Nostalgic Soda; 12 Nostalgic Soda; Month for 6 month(s); Month for 12 month(s); Month (Until You Cancel); 6 Bizarre & Odd Sodas; 12 Bizarre & Odd Sodas; Month for 6 month(s); Month for 12 month(s); Month (Until You Cancel); 6 Avery's Totally Gross Soda; 12 Avery's Totally Gross Soda; Month for 6 month(s); Month for 12 month(s); Month (Until You Cancel),USD,,https://www.sodapoponline.com/collections/soda-of-the-month-subscription/products/subscription-ginger,
2026-07-20T22:12:19.428Z,Soda Pop Online,Subscription Cream Soda,subscription,12,44.99,3.75,subscription and one-time,monthly,6 months; 12 months,6 Cream Sodas; 12 Cream Sodas; 6 Cream Sodas; 12 Cream Sodas; Month for 6 month(s); Month for 12 month(s); Month (Until You Cancel); 6 Root Beer Pack; 12 Root Beer Pack; Month for 6 month(s); Month for 12 month(s); Month (Until You Cancel); 6 Bizarre & Odd Sodas; 12 Bizarre & Odd Sodas; Month for 6 month(s); Month for 12 month(s); Month (Until You Cancel); 6 Nostalgic Soda; 12 Nostalgic Soda; Month for 6 month(s); Month for 12 month(s); Month (Until You Cancel); 6 Ginger Variety Pack; 12 Ginger Variety Pack; Month for 6 month(s); Month for 12 month(s); Month (Until You Cancel); 6 Avery's Totally Gross Soda; 12 Avery's Totally Gross Soda; Month for 6 month(s); Month for 12 month(s); Month (Until You Cancel),USD,,https://www.sodapoponline.com/collections/soda-of-the-month-subscription/products/subscription-cream-soda-6-pack,
2026-07-20T22:12:21.721Z,Soda Pop Online,Subscription Bizarre Soda Sampler,subscription,12,44.99,3.75,subscription and one-time,monthly,6 months; 12 months,6 Bizarre & Odd Sodas; 12 Bizarre & Odd Sodas; 6 Bizarre & Odd Sodas; 12 Bizarre & Odd Sodas; Month for 6 month(s); Month for 12 month(s); Month (Until You Cancel); 6 Cream Sodas; 12 Cream Sodas; Month for 6 month(s); Month for 12 month(s); Month (Until You Cancel); 6 Nostalgic Soda; 12 Nostalgic Soda; Month for 6 month(s); Month for 12 month(s); Month (Until You Cancel); 6 Root Beer Pack; 12 Root Beer Pack; Month for 6 month(s); Month for 12 month(s); Month (Until You Cancel); 6 Ginger Variety Pack; 12 Ginger Variety Pack; Month for 6 month(s); Month for 12 month(s); Month (Until You Cancel); 6 Avery's Totally Gross Soda; 12 Avery's Totally Gross Soda; Month for 6 month(s); Month for 12 month(s); Month (Until You Cancel),USD,,https://www.sodapoponline.com/collections/soda-of-the-month-subscription/products/subscription-odd-soda-sampler-6-pack,
2026-07-20T22:12:24.074Z,Soda Pop Online,Subscription Nostalgic Soda,subscription,12,44.99,3.75,subscription and one-time,monthly,6 months; 12 months,6 Nostalgic Soda; 12 Nostalgic Soda; 6 Nostalgic Soda; 12 Nostalgic Soda; Month for 6 month(s); Month for 12 month(s); Month (Until You Cancel); 6 Avery's Totally Gross Soda; 12 Avery's Totally Gross Soda; Month for 6 month(s); Month for 12 month(s); Month (Until You Cancel); 6 Bizarre & Odd Sodas; 12 Bizarre & Odd Sodas; Month for 6 month(s); Month for 12 month(s); Month (Until You Cancel); 6 Cream Sodas; 12 Cream Sodas; Month for 6 month(s); Month for 12 month(s); Month (Until You Cancel); 6 Root Beer Pack; 12 Root Beer Pack; Month for 6 month(s); Month for 12 month(s); Month (Until You Cancel); 6 Ginger Variety Pack; 12 Ginger Variety Pack; Month for 6 month(s); Month for 12 month(s); Month (Until You Cancel),USD,,https://www.sodapoponline.com/collections/soda-of-the-month-subscription/products/subscription-nostalgic-soda,
2026-07-20T22:12:26.378Z,Soda Pop Online,Subscription Root Beer,subscription,3,44.99,15,subscription and one-time,monthly,6 months; 12 months,6 Root Beer Pack; 12 Root Beer Pack; 6 Root Beer Pack; 12 Root Beer Pack; Month for 6 month(s); Month for 12 month(s); Month (Until You Cancel); 6 Ginger Variety Pack; 12 Ginger Variety Pack; Month for 6 month(s); Month for 12 month(s); Month (Until You Cancel); 6 Cream Sodas; 12 Cream Sodas; Month for 6 month(s); Month for 12 month(s); Month (Until You Cancel); 6 Nostalgic Soda; 12 Nostalgic Soda; Month for 6 month(s); Month for 12 month(s); Month (Until You Cancel); 6 Bizarre & Odd Sodas; 12 Bizarre & Odd Sodas; Month for 6 month(s); Month for 12 month(s); Month (Until You Cancel); 6 Avery's Totally Gross Soda; 12 Avery's Totally Gross Soda; Month for 6 month(s); Month for 12 month(s); Month (Until You Cancel),USD,,https://www.sodapoponline.com/collections/soda-of-the-month-subscription/products/subscription-root-beer,
2026-07-20T22:12:28.752Z,Soda Pop Online,Barr Hill Caledonia Raw Honey 16oz 2-Pack Jars,2-pack,2,79.99,39.99,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/barr-hill-caledonia-raw-honey-16oz-2-pack,
2026-07-20T22:12:31.122Z,Soda Pop Online,Baladin Agrumata Italian Citrus Soda 3-Pack Bottles,3-pack,3,17.99,6,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/baladin-agrumata-italian-citrus-soda-3-pack-bottles,
2026-07-20T22:12:33.435Z,Soda Pop Online,Orka Energy Water Mango Peach 3-Pack,3-pack,3,13.99,4.66,one-time,,,Extra Berry Single; Extra Berry 12 Pack,USD,,https://www.sodapoponline.com/collections/all/products/orka-energy-water-mango-peach-3-pack,
2026-07-20T22:12:35.753Z,Soda Pop Online,Nee Doh Gumdrop Stress Ball Fidget Toy,24-pack,24,19.99,0.83,one-time,,,24 Count Box Astro Pop; 1 Single Astro Pop,USD,,https://www.sodapoponline.com/collections/all/products/nee-doh-gumdrop-stress-ball-fidget-toy,
